Local time,Ask,Bid,AskVolume,BidVolume
24.03.2025 05:51:20.378 GMT-0400,18.87,18.680000000000003,0.006,0.006
24.03.2025 05:51:23.638 GMT-0400,18.919999999999998,18.73,0.006,0.006
24.03.2025 05:51:24.090 GMT-0400,18.919999999999998,18.680000000000003,0.006,0.006
24.03.2025 05:51:24.941 GMT-0400,18.919999999999998,18.73,0.006,0.006
24.03.2025 05:51:50.876 GMT-0400,18.930000000000003,18.669999999999998,0.006,0.006
24.03.2025 05:51:52.574 GMT-0400,18.87,18.680000000000003,0.006,0.006
24.03.2025 05:51:58.838 GMT-0400,18.919999999999998,18.680000000000003,0.006,0.006
24.03.2025 05:51:59.141 GMT-0400,18.919999999999998,18.73,0.006,0.006
24.03.2025 05:51:59.693 GMT-0400,18.930000000000003,18.669999999999998,0.006,0.006
24.03.2025 05:52:00.395 GMT-0400,18.930000000000003,18.72,0.006,0.006
24.03.2025 05:52:47.578 GMT-0400,18.919999999999998,18.680000000000003,0.006,0.006
24.03.2025 05:52:49.486 GMT-0400,18.87,18.680000000000003,0.006,0.006
24.03.2025 05:53:20.012 GMT-0400,18.919999999999998,18.73,0.006,0.006
24.03.2025 06:07:05.444 GMT-0400,18.880000000000003,18.669999999999998,0.006,0.006
24.03.2025 06:21:04.792 GMT-0400,18.830000000000002,18.62,0.006,0.006
24.03.2025 06:23:20.566 GMT-0400,18.880000000000003,18.669999999999998,0.006,0.006
24.03.2025 06:23:24.224 GMT-0400,18.87,18.630000000000003,0.006,0.006
24.03.2025 06:23:24.376 GMT-0400,18.87,18.680000000000003,0.006,0.006
24.03.2025 06:23:24.844 GMT-0400,18.830000000000002,18.62,0.006,0.006
24.03.2025 06:35:35.511 GMT-0400,18.78,18.57,0.006,0.006
24.03.2025 06:35:40.925 GMT-0400,18.82,18.630000000000003,0.006,0.006
24.03.2025 06:35:52.953 GMT-0400,18.77,18.580000000000002,0.006,0.006
24.03.2025 06:35:53.154 GMT-0400,18.830000000000002,18.62,0.006,0.006
24.03.2025 06:35:54.008 GMT-0400,18.830000000000002,18.57,0.006,0.006
24.03.2025 06:35:58.956 GMT-0400,18.830000000000002,18.62,0.006,0.006
24.03.2025 06:36:01.162 GMT-0400,18.82,18.580000000000002,0.006,0.006
24.03.2025 06:36:04.069 GMT-0400,18.830000000000002,18.62,0.006,0.006
24.03.2025 06:39:58.474 GMT-0400,18.82,18.580000000000002,0.006,0.006
24.03.2025 06:40:05.765 GMT-0400,18.82,18.630000000000003,0.006,0.006
24.03.2025 06:44:45.265 GMT-0400,18.78,18.57,0.006,0.006
24.03.2025 07:00:00.465 GMT-0400,18.830000000000002,18.62,0.006,0.006
24.03.2025 07:00:07.313 GMT-0400,18.82,18.580000000000002,0.006,0.006
24.03.2025 07:00:08.566 GMT-0400,18.77,18.580000000000002,0.006,0.006
24.03.2025 07:04:14.992 GMT-0400,18.82,18.630000000000003,0.006,0.006
24.03.2025 07:10:59.726 GMT-0400,18.78,18.57,0.006,0.006
24.03.2025 07:32:07.062 GMT-0400,18.830000000000002,18.62,0.006,0.006
24.03.2025 07:32:07.239 GMT-0400,18.77,18.580000000000002,0.006,0.006
24.03.2025 09:32:25.608 GMT-0400,18.73,18.52,0.006,0.006
24.03.2025 09:32:26.113 GMT-0400,18.78,18.57,0.006,0.006
24.03.2025 09:36:18.370 GMT-0400,18.82,18.630000000000003,0.006,0.006
24.03.2025 09:36:31.649 GMT-0400,18.77,18.580000000000002,0.006,0.006
24.03.2025 09:36:32.300 GMT-0400,18.830000000000002,18.62,0.006,0.006
24.03.2025 09:36:32.601 GMT-0400,18.78,18.57,0.006,0.006
24.03.2025 09:36:34.403 GMT-0400,18.82,18.630000000000003,0.006,0.006
24.03.2025 09:36:35.760 GMT-0400,18.78,18.57,0.006,0.006
24.03.2025 09:36:49.593 GMT-0400,18.830000000000002,18.62,0.006,0.006
24.03.2025 09:38:16.238 GMT-0400,18.77,18.580000000000002,0.006,0.006
24.03.2025 09:44:22.922 GMT-0400,18.82,18.630000000000003,0.006,0.006
24.03.2025 09:45:00.497 GMT-0400,18.78,18.57,0.006,0.006
24.03.2025 09:45:01.104 GMT-0400,18.82,18.630000000000003,0.006,0.006
24.03.2025 09:45:01.306 GMT-0400,18.77,18.580000000000002,0.006,0.006
24.03.2025 09:45:02.415 GMT-0400,18.830000000000002,18.62,0.006,0.006
24.03.2025 09:45:04.326 GMT-0400,18.78,18.57,0.006,0.006
24.03.2025 09:45:04.631 GMT-0400,18.830000000000002,18.62,0.006,0.006
24.03.2025 09:45:04.781 GMT-0400,18.830000000000002,18.57,0.006,0.006
24.03.2025 09:45:04.932 GMT-0400,18.77,18.580000000000002,0.006,0.006
24.03.2025 09:45:06.041 GMT-0400,18.82,18.630000000000003,0.006,0.006
24.03.2025 09:46:30.415 GMT-0400,18.78,18.57,0.006,0.006
24.03.2025 09:47:09.902 GMT-0400,18.78,18.52,0.006,0.006
24.03.2025 09:47:10.053 GMT-0400,18.72,18.53,0.006,0.006
24.03.2025 09:47:54.108 GMT-0400,18.77,18.580000000000002,0.006,0.006
24.03.2025 09:48:14.849 GMT-0400,18.73,18.52,0.006,0.006
24.03.2025 09:48:17.060 GMT-0400,18.78,18.57,0.006,0.006
24.03.2025 09:49:27.237 GMT-0400,18.72,18.53,0.006,0.006
24.03.2025 09:56:43.165 GMT-0400,18.680000000000003,18.47,0.006,0.006
24.03.2025 09:56:44.519 GMT-0400,18.73,18.52,0.006,0.006
24.03.2025 10:01:48.593 GMT-0400,18.669999999999998,18.48,0.006,0.006
24.03.2025 10:01:55.714 GMT-0400,18.73,18.52,0.006,0.006
24.03.2025 10:02:31.311 GMT-0400,18.669999999999998,18.48,0.006,0.006
24.03.2025 10:02:33.114 GMT-0400,18.73,18.52,0.006,0.006
24.03.2025 10:05:00.233 GMT-0400,18.669999999999998,18.48,0.006,0.006
24.03.2025 10:05:09.502 GMT-0400,18.73,18.52,0.006,0.006
24.03.2025 10:09:36.002 GMT-0400,18.77,18.580000000000002,0.006,0.006
24.03.2025 10:10:29.079 GMT-0400,18.72,18.53,0.006,0.006
24.03.2025 10:14:37.134 GMT-0400,18.73,18.47,0.006,0.006
24.03.2025 10:14:38.787 GMT-0400,18.669999999999998,18.48,0.006,0.006
24.03.2025 10:16:38.587 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 10:17:25.999 GMT-0400,18.669999999999998,18.48,0.006,0.006
24.03.2025 10:20:05.272 GMT-0400,18.62,18.430000000000003,0.006,0.006
24.03.2025 10:20:52.726 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 10:23:58.820 GMT-0400,18.52,18.330000000000002,0.006,0.006
24.03.2025 10:24:05.735 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 10:26:04.535 GMT-0400,18.52,18.330000000000002,0.006,0.006
24.03.2025 10:28:15.245 GMT-0400,18.48,18.27,0.006,0.006
24.03.2025 10:28:36.347 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 10:34:01.633 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 10:34:53.253 GMT-0400,18.52,18.330000000000002,0.006,0.006
24.03.2025 10:38:30.886 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 10:40:47.170 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 10:44:26.263 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 10:44:54.678 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 11:02:32.096 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 11:02:34.726 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 11:02:48.999 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 11:03:48.134 GMT-0400,18.52,18.330000000000002,0.006,0.006
24.03.2025 11:03:49.136 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 11:04:37.769 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 11:12:10.877 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 11:12:56.140 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 11:26:32.197 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 11:26:58.355 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 11:26:59.358 GMT-0400,18.57,18.330000000000002,0.006,0.006
24.03.2025 11:26:59.859 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 11:39:54.393 GMT-0400,18.62,18.430000000000003,0.006,0.006
24.03.2025 11:41:48.047 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 11:42:32.758 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 11:44:22.289 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 11:49:41.234 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 11:51:23.854 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 11:56:10.003 GMT-0400,18.52,18.330000000000002,0.006,0.006
24.03.2025 11:56:15.763 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 11:57:58.124 GMT-0400,18.52,18.330000000000002,0.006,0.006
24.03.2025 12:01:20.012 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 12:06:06.028 GMT-0400,18.52,18.330000000000002,0.006,0.006
24.03.2025 12:11:08.524 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 12:18:21.534 GMT-0400,18.580000000000002,18.32,0.006,0.006
24.03.2025 12:18:21.685 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 12:25:57.901 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 12:30:10.283 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 12:30:10.435 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 12:30:14.043 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 12:30:23.760 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 12:41:33.535 GMT-0400,18.62,18.430000000000003,0.006,0.006
24.03.2025 12:43:33.796 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 12:44:02.083 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 12:44:13.247 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 12:44:23.607 GMT-0400,18.62,18.430000000000003,0.006,0.006
24.03.2025 12:44:32.025 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 12:44:33.579 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 12:44:35.431 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 12:44:56.425 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 12:45:47.383 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 12:45:57.304 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 12:53:07.469 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 12:56:16.026 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 12:57:17.409 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 12:57:52.911 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 12:57:53.563 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 13:01:02.896 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 13:01:39.695 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 13:01:48.912 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 13:01:53.222 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 13:02:07.150 GMT-0400,18.62,18.430000000000003,0.006,0.006
24.03.2025 13:02:55.026 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 13:02:58.683 GMT-0400,18.62,18.430000000000003,0.006,0.006
24.03.2025 13:03:12.502 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 13:04:57.321 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 13:06:51.059 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 13:07:39.774 GMT-0400,18.62,18.430000000000003,0.006,0.006
24.03.2025 13:07:42.931 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 13:08:35.673 GMT-0400,18.630000000000003,18.37,0.006,0.006
24.03.2025 13:08:35.825 GMT-0400,18.630000000000003,18.419999999999998,0.006,0.006
24.03.2025 13:10:35.261 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 13:12:01.690 GMT-0400,18.62,18.430000000000003,0.006,0.006
24.03.2025 13:22:41.770 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 13:29:28.299 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 13:29:28.450 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 13:30:32.413 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 13:30:33.064 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 13:31:19.418 GMT-0400,18.52,18.330000000000002,0.006,0.006
24.03.2025 13:31:24.920 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 13:32:20.011 GMT-0400,18.580000000000002,18.32,0.006,0.006
24.03.2025 13:32:20.162 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 13:32:21.816 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 13:32:24.823 GMT-0400,18.57,18.330000000000002,0.006,0.006
24.03.2025 13:32:25.675 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 13:32:25.825 GMT-0400,18.57,18.330000000000002,0.006,0.006
24.03.2025 13:32:28.509 GMT-0400,18.52,18.330000000000002,0.006,0.006
24.03.2025 13:32:32.470 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 13:32:35.837 GMT-0400,18.52,18.330000000000002,0.006,0.006
24.03.2025 13:38:52.383 GMT-0400,18.47,18.28,0.006,0.006
24.03.2025 13:42:45.909 GMT-0400,18.52,18.330000000000002,0.006,0.006
24.03.2025 13:44:39.120 GMT-0400,18.53,18.27,0.006,0.006
24.03.2025 13:44:39.821 GMT-0400,18.47,18.28,0.006,0.006
24.03.2025 13:44:39.972 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 13:45:09.242 GMT-0400,18.48,18.27,0.006,0.006
24.03.2025 13:45:23.216 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 13:46:13.250 GMT-0400,18.47,18.28,0.006,0.006
24.03.2025 13:48:32.549 GMT-0400,18.52,18.330000000000002,0.006,0.006
24.03.2025 13:48:37.858 GMT-0400,18.47,18.28,0.006,0.006
24.03.2025 13:58:25.057 GMT-0400,18.52,18.330000000000002,0.006,0.006
24.03.2025 13:58:26.342 GMT-0400,18.47,18.28,0.006,0.006
24.03.2025 14:02:06.291 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 14:03:33.318 GMT-0400,18.580000000000002,18.37,0.006,0.006
24.03.2025 14:03:35.421 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 14:03:37.474 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 14:06:15.543 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 14:07:18.986 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 14:07:20.438 GMT-0400,18.52,18.330000000000002,0.006,0.006
24.03.2025 14:07:21.942 GMT-0400,18.57,18.380000000000003,0.006,0.006
24.03.2025 14:07:22.643 GMT-0400,18.580000000000002,18.32,0.006,0.006
24.03.2025 14:07:22.794 GMT-0400,18.53,18.32,0.006,0.006
24.03.2025 14:17:24.586 GMT-0400,18.47,18.28,0.006,0.006
24.03.2025 14:37:21.639 GMT-0400,18.419999999999998,18.23,0.006,0.006
24.03.2025 14:37:36.857 GMT-0400,18.48,18.27,0.006,0.006
24.03.2025 14:37:46.577 GMT-0400,18.430000000000003,18.22,0.006,0.006
24.03.2025 14:43:12.680 GMT-0400,18.37,18.180000000000003,0.006,0.006
24.03.2025 14:46:04.572 GMT-0400,18.419999999999998,18.23,0.006,0.006
24.03.2025 14:46:17.334 GMT-0400,18.37,18.180000000000003,0.006,0.006
24.03.2025 14:46:18.290 GMT-0400,18.430000000000003,18.22,0.006,0.006
24.03.2025 14:46:24.166 GMT-0400,18.380000000000003,18.169999999999998,0.006,0.006
24.03.2025 14:50:12.385 GMT-0400,18.430000000000003,18.22,0.006,0.006
24.03.2025 14:50:15.572 GMT-0400,18.37,18.180000000000003,0.006,0.006
24.03.2025 14:51:05.852 GMT-0400,18.419999999999998,18.23,0.006,0.006
24.03.2025 14:52:03.006 GMT-0400,18.37,18.180000000000003,0.006,0.006
24.03.2025 14:52:10.458 GMT-0400,18.419999999999998,18.23,0.006,0.006
24.03.2025 15:05:36.020 GMT-0400,18.380000000000003,18.169999999999998,0.006,0.006
24.03.2025 15:31:25.749 GMT-0400,18.330000000000002,18.25,0.006,0
24.03.2025 15:32:06.318 GMT-0400,18.32,18.3,0.006,0
24.03.2025 15:43:07.223 GMT-0400,18.27,18.26,0.006,0
24.03.2025 15:43:07.273 GMT-0400,18.27,18.080000000000002,0.006,0.006
24.03.2025 15:50:06.364 GMT-0400,18.32,18.130000000000003,0.006,0.006
24.03.2025 15:50:07.316 GMT-0400,18.27,18.080000000000002,0.006,0.006
24.03.2025 15:50:37.323 GMT-0400,18.32,18.130000000000003,0.006,0.006
24.03.2025 15:54:30.662 GMT-0400,18.27,18.080000000000002,0.006,0.006
24.03.2025 15:55:24.188 GMT-0400,18.32,18.130000000000003,0.006,0.006
24.03.2025 15:55:29.102 GMT-0400,18.27,18.080000000000002,0.006,0.006
24.03.2025 15:58:29.574 GMT-0400,18.22,18.03,0.006,0.006
24.03.2025 15:59:05.633 GMT-0400,18.180000000000003,17.97,0.006,0.006
24.03.2025 16:03:03.258 GMT-0400,18.22,18.03,0.006,0.006
24.03.2025 16:07:32.123 GMT-0400,18.169999999999998,17.98,0.006,0.006
24.03.2025 16:32:57.287 GMT-0400,18.22,18.03,0.006,0.006
24.03.2025 18:00:06.543 GMT-0400,18.23,18.02,0.006,0.006
24.03.2025 18:00:57.612 GMT-0400,18.169999999999998,17.98,0.006,0.006
24.03.2025 18:07:00.872 GMT-0400,18.22,17.98,0.006,0.006
24.03.2025 18:07:01.424 GMT-0400,18.180000000000003,17.97,0.006,0.006
24.03.2025 18:07:01.575 GMT-0400,18.23,17.97,0.006,0.006
24.03.2025 18:07:03.229 GMT-0400,18.180000000000003,17.97,0.006,0.006
24.03.2025 18:13:19.996 GMT-0400,18.23,17.97,0.006,0.006
24.03.2025 18:13:30.122 GMT-0400,18.169999999999998,17.98,0.006,0.006
24.03.2025 18:16:41.923 GMT-0400,18.23,17.97,0.006,0.006
24.03.2025 18:17:31.823 GMT-0400,18.180000000000003,17.97,0.006,0.006
24.03.2025 18:21:39.938 GMT-0400,18.23,18.02,0.006,0.006
24.03.2025 18:24:27.197 GMT-0400,18.23,17.97,0.006,0.006
24.03.2025 18:25:16.483 GMT-0400,18.23,18.02,0.006,0.006
24.03.2025 18:34:07.606 GMT-0400,18.180000000000003,17.97,0.006,0.006
24.03.2025 18:42:47.621 GMT-0400,18.22,18.03,0.006,0.006
24.03.2025 19:38:30.264 GMT-0400,18.180000000000003,17.97,0.006,0.006
24.03.2025 19:55:03.987 GMT-0400,18.23,18.02,0.006,0.006
24.03.2025 19:57:29.523 GMT-0400,18.22,17.98,0.006,0.006
24.03.2025 19:58:34.249 GMT-0400,18.23,18.02,0.006,0.006
24.03.2025 20:02:22.606 GMT-0400,18.180000000000003,17.97,0.006,0.006
24.03.2025 20:02:27.206 GMT-0400,18.23,18.02,0.006,0.006
24.03.2025 20:18:20.588 GMT-0400,18.180000000000003,17.97,0.006,0.006
24.03.2025 20:23:35.696 GMT-0400,18.23,17.97,0.006,0.006
24.03.2025 20:23:45.121 GMT-0400,18.23,18.02,0.006,0.006
24.03.2025 20:23:45.980 GMT-0400,18.22,17.98,0.006,0.006
24.03.2025 20:23:48.433 GMT-0400,18.180000000000003,17.97,0.006,0.006
24.03.2025 20:30:17.730 GMT-0400,18.22,18.03,0.006,0.006
24.03.2025 20:30:18.032 GMT-0400,18.169999999999998,17.98,0.006,0.006
24.03.2025 20:53:54.931 GMT-0400,18.12,17.930000000000003,0.006,0.006
24.03.2025 20:53:55.232 GMT-0400,18.180000000000003,17.97,0.006,0.006
24.03.2025 21:37:24.216 GMT-0400,18.130000000000003,17.919999999999998,0.006,0.006
24.03.2025 22:00:00.881 GMT-0400,18.180000000000003,17.97,0.006,0.006
24.03.2025 22:47:42.802 GMT-0400,18.23,17.97,0.006,0.006
24.03.2025 22:48:05.617 GMT-0400,18.180000000000003,17.97,0.006,0.006
24.03.2025 22:50:50.856 GMT-0400,18.22,18.03,0.006,0.006
